Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.8762037324212105,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.8762037324212105,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.8762037324212105,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.8762037324212105,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.8762037324212105,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.8762037324212105,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.8762037324212105,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.8762037324212105,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.8490703634227047,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.8509134983955172,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.8492345170378427,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.8606999160162772,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.8803499183748968,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.8769426788569579,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.8641626100408144,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]

Total,,,,,85.71040201575832,58.524424283984324,,,,,,
