Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
0,13,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.17012013539627535,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
1,43,1,[0.98244054 0.19512195 1.        ],0,0.5940490840783046,0.91,0,0,"[0.5, 100.0, 20.0]",[],"[0.8, 85.0, 20.0]",[]
2,9,1,[0.99133141 0.31707317 0.71428571],0,0.5710885810474337,0.17012013539627646,0,0,"[1.0, 100.0, 30.0]",[],"[0.4, 110.0, 20.0]",[]
3,79,1,[0.98419684 0.175      0.75      ],0,0.5093393678735747,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.8, 85.0, 20.0]",[]
4,14,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.25934073742018526,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
5,63,1,[0.98244054 0.19512195 1.        ],0,0.5940490840783046,0.91,0,0,"[0.5, 100.0, 20.0]",[],"[0.8, 85.0, 20.0]",[]
6,53,1,[0.99133141 0.31707317 0.71428571],0,0.5710885810474337,0.17012013539627646,0,0,"[1.0, 100.0, 30.0]",[],"[0.4, 110.0, 20.0]",[]
7,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,13,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.17012013539627535,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
1,43,1,[0.98244054 0.19512195 1.        ],0,0.5940490840783046,0.91,0,0,"[0.5, 100.0, 20.0]",[],"[0.8, 85.0, 20.0]",[]
2,9,1,[0.99133141 0.31707317 0.71428571],0,0.5710885810474337,0.17012013539627646,0,0,"[1.0, 100.0, 30.0]",[],"[0.4, 110.0, 20.0]",[]
3,79,1,[0.98419684 0.175      0.75      ],0,0.5093393678735747,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.8, 85.0, 20.0]",[]
4,14,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.25934073742018526,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
5,63,1,[0.98244054 0.19512195 1.        ],0,0.5940490840783046,0.91,0,0,"[0.5, 100.0, 20.0]",[],"[0.8, 85.0, 20.0]",[]
6,53,1,[0.99133141 0.31707317 0.71428571],0,0.5710885810474337,0.17012013539627646,0,0,"[1.0, 100.0, 30.0]",[],"[0.4, 110.0, 20.0]",[]
7,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,13,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.17012013539627535,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
1,43,1,[0.98244054 0.19512195 1.        ],0,0.5940490840783046,0.91,0,0,"[0.5, 100.0, 20.0]",[],"[0.8, 85.0, 20.0]",[]
